date,open,high,low,close,volume
2025-02-03,1.768461049418517e-05,1.561609320870118e-05,1.5306863640212048e-05,1.5461478424456613e-05,685770679.1199425
2025-02-04,1.5461478424456613e-05,1.692623884494492e-05,1.659106579851037e-05,1.6758652321727645e-05,1559046671.7814248
2025-02-05,1.6758652321727645e-05,1.595343796032395e-05,1.5637528297743276e-05,1.5795483129033613e-05,593940678.561576
2025-02-06,1.5795483129033613e-05,1.5926486810816714e-05,1.56111108343649e-05,1.5768798822590807e-05,369788294.2510844
2025-02-07,1.5768798822590807e-05,1.4994406558490211e-05,1.469748761673793e-05,1.484594708761407e-05,336198247.7150499
2025-02-08,1.484594708761407e-05,1.524563269900231e-05,1.4943738982190382e-05,1.5094685840596346e-05,331529437.1170631
2025-02-09,1.5094685840596346e-05,1.6119778032507757e-05,1.5800574507111566e-05,1.596017626980966e-05,249354967.01999313
2025-02-10,1.596017626980966e-05,1.5855355504945435e-05,1.5541388069203937e-05,1.5698371787074686e-05,230836294.67303368
2025-02-11,1.5698371787074686e-05,1.5951395936757457e-05,1.5635526710287014e-05,1.5793461323522236e-05,203478238.24261793
2025-02-12,1.5793461323522236e-05,1.5857236086906573e-05,1.554323141191832e-05,1.5700233749412447e-05,269520290.51919454
2025-02-13,1.5700233749412447e-05,1.717920042282691e-05,1.683901823623628e-05,1.7009109329531596e-05,441016725.8899914
2025-02-14,1.7009109329531596e-05,1.646937499001078e-05,1.6143248752584823e-05,1.6306311871297802e-05,276306059.1679844
2025-02-15,1.6306311871297802e-05,1.6899260223113137e-05,1.6564621406813866e-05,1.67319408149635e-05,291730775.66833925
2025-02-16,1.67319408149635e-05,1.6489306564501897e-05,1.616278564243255e-05,1.6326046103467224e-05,180462049.10647082
2025-02-17,1.6326046103467224e-05,1.6122478661704e-05,1.580322165850194e-05,1.596285016010297e-05,147102631.21649447
2025-02-18,1.596285016010297e-05,1.5890900109836725e-05,1.557622882053303e-05,1.5733564465184877e-05,221991375.2865308
2025-02-19,1.5733564465184877e-05,1.5367885274976966e-05,1.5063570715076433e-05,1.52157279950267e-05,217203789.90543178
2025-02-20,1.52157279950267e-05,1.5547173380039267e-05,1.523930856063255e-05,1.539324097033591e-05,160824740.1830075
2025-02-21,1.539324097033591e-05,1.5723901950799267e-05,1.5412537555733932e-05,1.55682197532666e-05,153177105.017363
2025-02-22,1.55682197532666e-05,1.5236848540404004e-05,1.4935128767326697e-05,1.508598865386535e-05,231719946.82279426
2025-02-23,1.508598865386535e-05,1.577666533964052e-05,1.5464256124994172e-05,1.5620460732317345e-05,135385564.10074487
2025-02-24,1.5620460732317345e-05,1.5630520353735874e-05,1.532100509920645e-05,1.547576272647116e-05,116844458.54357614
2025-02-25,1.547576272647116e-05,1.37542111241385e-05,1.3481850507818926e-05,1.3618030815978713e-05,358729592.1603741
2025-02-26,1.3618030815978713e-05,1.4230616960082409e-05,1.3948822564833253e-05,1.4089719762457831e-05,457438179.77279913
2025-02-27,1.4089719762457831e-05,1.4514163135688098e-05,1.4226753964684372e-05,1.4370458550186235e-05,258676880.34202722
2025-02-28,1.4370458550186235e-05,1.457530456149269e-05,1.4286684669185904e-05,1.4430994615339297e-05,197623342.08205026
2025-03-01,1.4430994615339297e-05,1.408315934532316e-05,1.3804284902841513e-05,1.3943722124082336e-05,361544391.2150996
2025-03-02,1.3943722124082336e-05,1.377686356561598e-05,1.3504054386098833e-05,1.3640458975857407e-05,147086458.86024448
2025-03-03,1.3640458975857407e-05,1.528408445784318e-05,1.4981429320064108e-05,1.5132756888953644e-05,361818124.9541392
2025-03-04,1.5132756888953644e-05,1.3036467564352875e-05,1.277831969179143e-05,1.2907393628072152e-05,385067576.4570483
2025-03-05,1.2907393628072152e-05,1.3214712167589643e-05,1.2953034698924502e-05,1.3083873433257073e-05,429942623.71271515
2025-03-06,1.3083873433257073e-05,1.3514970203829027e-05,1.3247347031475976e-05,1.3381158617652502e-05,183366724.903404
2025-03-07,1.3381158617652502e-05,1.355659033768525e-05,1.328814300426574e-05,1.3422366670975495e-05,196589011.55489463
2025-03-08,1.3422366670975495e-05,1.3262558457953707e-05,1.2999933537994226e-05,1.3131245997973966e-05,322284453.19018173
2025-03-09,1.3131245997973966e-05,1.2780135703552665e-05,1.2527063709422909e-05,1.2653599706487787e-05,164410722.31920853
2025-03-10,1.2653599706487787e-05,1.1773358882348543e-05,1.1540223062896097e-05,1.165679097262232e-05,239725246.72035897
2025-03-11,1.165679097262232e-05,1.1645978125163309e-05,1.1415364696942252e-05,1.153067141105278e-05,389489289.30847025
2025-03-12,1.153067141105278e-05,1.2158530160959653e-05,1.1917767187475303e-05,1.2038148674217478e-05,360996707.29389054
2025-03-13,1.2038148674217478e-05,1.245732645844229e-05,1.2210646726591947e-05,1.2333986592517118e-05,243346136.12861112
2025-03-14,1.2333986592517118e-05,1.213164800744953e-05,1.1891417353836668e-05,1.2011532680643099e-05,173076150.69418648
2025-03-15,1.2011532680643099e-05,1.2936748210524143e-05,1.2680574978632574e-05,1.2808661594578358e-05,189178287.78197882
2025-03-16,1.2808661594578358e-05,1.2960008332725512e-05,1.270337450435471e-05,1.2831691418540111e-05,109149931.77287394
2025-03-17,1.2831691418540111e-05,1.3263694529654195e-05,1.30010471132254e-05,1.3132370821439797e-05,294387270.64380157
2025-03-18,1.3132370821439797e-05,1.3095401557089564e-05,1.2836086674770958e-05,1.2965744115930261e-05,207058088.88657385
2025-03-19,1.2965744115930261e-05,1.2671521282365141e-05,1.2420600068852961e-05,1.2546060675609051e-05,138413918.74110904
2025-03-20,1.2546060675609051e-05,1.3090795122589086e-05,1.2831571456795241e-05,1.2961183289692163e-05,186689530.86882612
2025-03-21,1.2961183289692163e-05,1.3084027749880754e-05,1.2824938091467273e-05,1.2954482920674014e-05,156803296.86718497
2025-03-22,1.2954482920674014e-05,1.2644888765041215e-05,1.2394494928109708e-05,1.2519691846575462e-05,135086593.28929403
2025-03-23,1.2519691846575462e-05,1.2914945434229076e-05,1.2659203940481966e-05,1.2787074687355521e-05,102676916.10019438
2025-03-24,1.2787074687355521e-05,1.3051326871769397e-05,1.2792884755496735e-05,1.2922105813633066e-05,118626366.0307166
2025-03-25,1.2922105813633066e-05,1.3622881637213717e-05,1.3353121604793644e-05,1.348800162100368e-05,204843458.34550005
2025-03-26,1.348800162100368e-05,1.4019132567392672e-05,1.3741525981899746e-05,1.3880329274646209e-05,212843676.29485202
2025-03-27,1.3880329274646209e-05,1.4363604943843238e-05,1.4079177123173076e-05,1.4221391033508157e-05,595788829.4330822
2025-03-28,1.4221391033508157e-05,1.4184962441517713e-05,1.3904072096141124e-05,1.4044517268829418e-05,274923165.6175952
2025-03-29,1.4044517268829418e-05,1.3378676216332063e-05,1.3113751934820537e-05,1.32462140755763e-05,232403141.38119936
2025-03-30,1.32462140755763e-05,1.2829945417214439e-05,1.2575887092121083e-05,1.270291625466776e-05,187010638.29086614
2025-03-31,1.270291625466776e-05,1.2560383659179855e-05,1.2311663190681245e-05,1.243602342493055e-05,163154108.9482225
2025-04-01,1.243602342493055e-05,1.2514541408153653e-05,1.2266728707002096e-05,1.2390635057577875e-05,197945432.99634594
2025-04-02,1.2390635057577875e-05,1.2818354176778988e-05,1.2564525381199205e-05,1.2691439778989097e-05,178458640.69970518
2025-04-03,1.2691439778989097e-05,1.219868696872071e-05,1.1957128810924259e-05,1.2077907889822484e-05,327321676.93059313
2025-04-04,1.2077907889822484e-05,1.233292061142486e-05,1.2088704361693674e-05,1.2210812486559267e-05,211398257.53746435
2025-04-05,1.2210812486559267e-05,1.2421051167871942e-05,1.2175089758607149e-05,1.2298070463239545e-05,252483289.11692482
2025-04-06,1.2298070463239545e-05,1.2473689021951274e-05,1.2226685278942337e-05,1.2350187150446806e-05,101785791.44735204
2025-04-07,1.2350187150446806e-05,1.139158014349233e-05,1.1166004299066738e-05,1.1278792221279534e-05,222291704.5461086
2025-04-08,1.1278792221279534e-05,1.1538658617702475e-05,1.131017032824302e-05,1.1424414472972747e-05,485526798.33798546
2025-04-09,1.1424414472972747e-05,1.0748627528015772e-05,1.0535783418550113e-05,1.0642205473282942e-05,241854891.1366028
2025-04-10,1.0642205473282942e-05,1.2052125012683018e-05,1.181346907183781e-05,1.1932797042260414e-05,351257027.2950817
2025-04-11,1.1932797042260414e-05,1.17689381682478e-05,1.1535889887688437e-05,1.1652414027968119e-05,204690091.16711974
2025-04-12,1.1652414027968119e-05,1.2334497040630506e-05,1.2090249574479406e-05,1.2212373307554956e-05,166207884.24034432
2025-04-13,1.2212373307554956e-05,1.2660473425864933e-05,1.2409770981788399e-05,1.2535122203826666e-05,136154884.68690166
2025-04-14,1.2535122203826666e-05,1.215224128550706e-05,1.1911602844209892e-05,1.2031922064858476e-05,146100122.7256391
2025-04-15,1.2031922064858476e-05,1.2115869594135095e-05,1.1875951384350241e-05,1.1995910489242668e-05,162500117.97522706
2025-04-16,1.1995910489242668e-05,1.1790320175830404e-05,1.1556848489180298e-05,1.167358433250535e-05,125260622.75036421
2025-04-17,1.167358433250535e-05,1.1962346152971526e-05,1.1725468011328524e-05,1.1843907082150025e-05,137841629.095688
2025-04-18,1.1843907082150025e-05,1.1911047204420662e-05,1.1675184883541046e-05,1.1793116043980854e-05,108793859.6848351
2025-04-19,1.1793116043980854e-05,1.2406181061347096e-05,1.2160514109637251e-05,1.2283347585492173e-05,110174565.00081736
2025-04-20,1.2283347585492173e-05,1.2475134207617757e-05,1.222810184707087e-05,1.2351618027344314e-05,87363882.72064298
2025-04-21,1.2351618027344314e-05,1.2473439889867466e-05,1.2226441080167119e-05,1.2349940485017293e-05,104379081.72448581
2025-04-22,1.2349940485017293e-05,1.2450287102938917e-05,1.220374676426686e-05,1.2327016933602889e-05,147076520.18341267
